location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Hancock, NH",Miss Mary and Dr. Fredrika Moore House,1824,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hancock, NH",Cynthia Porter Weston House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedford, MA",Carroll Dunham House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lexington, MA",Joshua Simons House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buxton, ME",Carroll Rounds House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,T,T,T,,,,,T
"Buxton, ME",A.I. Poulsen House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, MA",G. Arthur Merrill House,1832,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, MA",Ethel M. Fredrick House,1832,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andover, MA",Poor-Perry House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Reading, MA",Frances Shay Mague House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groton, MA",Dr. Harold Ayers House,1835,Jonathan D. Poor,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harvard, MA",Whitney House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,
"North Haverhill, NH",Harold Kimball House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgetown, MA",Pierce (Judge) House,1832,Porter School,mural,Lipman,,,T,,,,,T,,,,,,,T,,,,,,,T,,,,,,,,,,,,,,
"Chesterville, ME",Captain Thomas Williams House,1834,Jonathan D. Poor,mural,tradition,,T,T,,,,,,,,,,,,,,,,,,,,T,,,T,T,,,T,T,,,,,
"Haverhill, NH",Grace D. Wilson-Lavery House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedford, MA",Jonas Monroe House,1830,Porter School,mural,Lipman,,,T,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,
"Winthrop, ME",Frank Hanson House,1830,E.V. Bennett,mural,signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wakefield, MA",Thomas Walton House,1835,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farmington, ME",David Ingham House,1830,Jonathan D. Poor and Paine,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Haverhill, NH",Leslie Lackie House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Boxford, MA",Joseph Burgson House,1838,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA",Beacon Hill Boarding House,1843,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Sharon, ME",Robert C. Bruce House,1840,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Parsonfield, ME",Frank Chapman House,1830,Jonathan D. Poor and Paine,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monmouth, ME",Simon Martson House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merrimacport, MA",Edward Gibbin House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limerick, ME",McDonald Inn,1830,Paine,mural,tradition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dover, NH",Neighborhood House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merrimac, MA",Sargent House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gorham, ME",Dr. Files House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesterville, ME",Benjamin Bacheller House,1834,Jonathan D. Poor,mural,signed,T,,,,T,,,,,,,,,,,,,,T,,,,,,,,,,,T,,,,,T,T
"Lyme, NH",Perkins-Simmons House,1825,Porter School,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woburn, MA",Shaker Glenn Inn,1835,Rufus Porter,mural,signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
