location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats,lon,lat
"North Parsonfield, ME",Helen Cating House,1830,Jonathan D. Poor and Paine,mural,tradition,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,-70.9225644,43.7572986
"North Parsonfield, ME",Dr. William Reid House,1830,Jonathan D. Poor and Paine,mural,tradition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9225644,43.7572986
"Greenfield, NH",James T. Garvin House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8723003,42.9506384
"Greenfield, NH",Eliot Hutchinson House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8723003,42.9506384
"New Ipswich, NH",Gould-Chickering House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8808499,42.7362307
"Bedford, MA",Penniman-Stearns House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2760089,42.4906231
"Billerica, MA",Donald Schult House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2689461,42.5584218
"Billerica, MA",Lyons House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2689461,42.5584218
"Billerica, MA",Manning Manse,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2689461,42.5584218
"Groveland, MA",Spofford House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0314451,42.76036879999999
"Groveland, MA",Edna Worthing Cottage,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0314451,42.76036879999999
"South Bridgton, ME",Ingalls House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.7081168,43.9914601
"Georgetown, MA",Pingree House,1832,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.99116590000001,42.7250918
"Georgetown, MA",John C. Wilkins House,1832,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.99116590000001,42.7250918
"Charlestown, MA",Levi Prosser House,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0615977,42.37865559999999
"North Reading, MA",House near Route 28,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0786653,42.5750939
"Wakefield, MA",Franklin Poole House,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0723391,42.5039395
"Wakefield, MA",Kenneth Odiorne House,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0723391,42.5039395
"Hancock, NH",John Hancock Inn,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9798565,42.9732129
"Wakefield, MA",Emerson House,1835,Rufus Porter,mural,signed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.0723391,42.5039395
"Standish, ME",Warren Pederson House,1830,Jonathan D. Poor,mural,signed,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,-70.5509356,43.7355927
"Readfield, ME",Judge Bean House,1835,Jonathan D. Poor,mural,signed,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,-69.9667188,44.3878453
"Parsonfield, ME",Dalton House,1830,Jonathan D. Poor,mural,signed,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,-70.9286755,43.72702140000001
"Parsonfield, ME",Chillis (Morison) House,1830,Jonathan D. Poor,mural,signed,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,-70.9286755,43.72702140000001
"East Haverhill, MA",Ingalls-Colby House,1830,Porter School,mural,Lipman,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,-71.1047486,42.7503042
"Mt. Vernon, ME",Burbank House,1835,Jonathan D. Poor,mural,tradition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,-69.987555,44.5011761
"Westwood, MA",E.A. West House,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2244987,42.21398730000001
"Winthrop, ME",Knowlton House,1830,E.J. Gilbert,mural,signed,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.9769721,44.3050332
"Turner, ME",Captain Leavitt House,1830,Orison Wood,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,-70.2561671,44.2564588
"Fryeburg, ME",Warren-Towle House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9806357,44.0164329
"Lyme, NH",Kent House,1825,Porter School,mural,Lipman,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,-72.1559219,43.8095142
"Groveland, MA","Stephen Parker, Jr. House",1830,Porter School,mural,Lefko,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.0314451,42.76036879999999
"Westwood, MA",Timothy Smith House,1835,Porter School,mural,Lefko,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2244987,42.21398730000001
"Amesbury, MA",Bartlett (Abraham Colby) House,1830,Porter School,mural,Lipman,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.93003759999999,42.85839250000001
"Farmington Falls, ME",Russ House,1830,Jonathan D. Poor and Paine,mural,tradition,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,-70.0737773,44.6214543
"Pepperell, MA",Artemas Hemenway Tavern,1830,Porter School,mural,Lefko,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,-71.5884363,42.66592319999999
"Strong, ME",William McCleary House,1835,Jonathan D. Poor,mural,tradition,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,-70.2208981,44.8075572
"Winchester, MA",Edmund Parker House,1830,Porter School,mural,Lefko,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,-71.1369959,42.452303
"Mason, NH",Asher Tarbell House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,-71.76888679999999,42.7431782
"Farmington, ME",Benjamin Stanley House,1835,Jonathan D. Poor,mural,tradition,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,-70.1512169,44.67049979999999
"New Ipswich, NH",Solomon Russell House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.8808499,42.7362307
"Orford, NH",Hinckley House,1824,Porter School,mural,Lipman,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,-72.1417216,43.9014167
"North Leeds, ME",Barker House,1835,Porter School,mural,Lefko,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,TRUE,-70.1311661,44.3434014
"Farmington, ME",Dyer/Currier House,1830,Jonathan D. Poor and Paine,mural,tradition,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,-70.1512169,44.67049979999999
"Bridgton, ME",Deacon Libby House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.7128685,44.0548021
"Bedford, MA",Dutton House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.2760089,42.4906231
"Ossipee, NH",Brewster House,1825,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.1166556,43.6853516
"Sturbridge, MA",Roswell Warner House,1830,Porter School,mural,Lefko,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.0787059,42.1084122
"Groveland, MA",Savery Homestead,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.0314451,42.76036879999999
"Harvard, MA",Harvard Inn,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.5828444,42.5000919
"Buckfield, ME",Tobias Ricker House,1835,Porter School,mural,Lefko,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,-70.36533589999999,44.2895134
"Thornton, NH",Hackett House,1810,Bears and Pears Artist,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.6759125,43.8928475
"Westwood, MA",Reuben Guild House,1838,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.2244987,42.21398730000001
"Littleton, NH",Littleton Inn,1810,Bears and Pears Artist,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.7701237,44.3061628
"North Reading, MA",Damon Tavern,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.0786653,42.5750939
"Readfield, ME",Captain Dudley Haines House,1835,Jonathan D. Poor,mural,tradition,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,-69.9667188,44.3878453
"Fayette, ME",Lieutenant John Lovejoy House,1835,Jonathan D. Poor,mural,tradition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,-70.0336654,44.4089558
"East Bath, NH",Noyes-Ide House,1825,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.96620089999999,44.1670079
"Harvard, MA",William A. Potter House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5828444,42.5000919
"Fryeburg, ME",Barrows Homestead,1830,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,TRUE,-70.9806357,44.0164329
"Naples, ME",Perley House,1830,Porter School,mural,Lefko,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,NA,-70.6180214,43.986313
"West Boxford, MA",John A. Andrew House,1838,Porter School,mural,Lipman,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.0642623,42.707627
"Hancock, NH",Elijah Wyman House,1825,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.9798565,42.9732129
"Rumford, ME",Hezekiah Hutchins House,1840,Jonathan D. Poor,mural,Lipman,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,TRUE,-70.55088289999999,44.5536606
"Portland, ME",Deacon John Bailey House,1827,Porter School,mural,Lipman,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,-70.2568189,43.6590993
"Townsend, MA",Quincy Sylvester House,1830,Porter School,mural,Lefko,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.70512649999999,42.6667718
"Greenfield, NH",Squire Craigin House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.8723003,42.9506384
"Surry, NH",Haile House,1825,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.3211975,43.0178575
"Westwood, MA",Storer Ware House,1838,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.2244987,42.21398730000001
"Swansea, MA",Mason Barney House,1830,Porter School,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,-71.1895617,41.748162
"Lisbon, NH",Captain Thomas Dodge House,1810,Bears and Pears Artist,mural,Lefko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.9109059,44.2133222
"Durham, ME",Litchfield House,1830,E.J. Gilbert,mural,Lefko,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.12299050000001,43.972476
"Norridgewock, ME",Joshua Gilmore House,1830,Quincy,mural,signed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.7905955,44.7130794
"Bradford, NH",Joshua Eaton House,1824,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,-71.9576292,43.26870479999999
"North Haverhill, NH",Daniel Carr House,1825,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,-72.0201877,44.0839848
"East Peperell, MA",Coburn Tavern,1824,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5731236,42.6653673
"Farmington, ME",Milton Gay House,1835,Jonathan D. Poor and Paine,mural,tradition,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,-70.1512169,44.67049979999999
"Sebec, ME",Ellerton Jette House,1824,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.1167087,45.27144080000001
"North Reading, MA",Van Heusen Seventeenth-Century Farms,1835,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.0786653,42.5750939
"Lunenburg, MA",Faith Gardner House,1830,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,-71.7245035,42.5945273
"Harvard, MA",Fruitlands Museums,1830,Porter School,mural,Fruitlands Museums,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.5828444,42.5000919
"Topsham, VT",Elwin Chase House,1831,Porter School,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,-72.25509559999999,44.12811929999999
"Webster Corner, ME",Cushman Tavern,1830,Orison Wood,mural,Lipman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,-70.08588619999999,44.0600755
