town,state,year,subject,creator,type,attribution,image,fig_num
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,,
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,,"61, 62"
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,,
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,,
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,,
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,,93
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,,
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,,
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,,
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,,
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,,
Dover,NH,1825,Neighborhood House,Porter School,mural,Lipman,,
East Jaffrey,NH,1824,Prescott Tavern,Porter School,mural,Lipman,"""images/RP_JaffreyNH.jpg""","55, 56, color plate 1, color plate 2"
East Jaffrey,NH,1824,Don Pierce House,Porter School,mural,Lipman,,
Greenfield,NH,1825,Squire Craigin House,Porter School,mural,Lipman,,
Greenfield,NH,1825,James T. Garvin House,Porter School,mural,Lipman,,
Greenfield,NH,1825,Eliot Hutchinson House,Porter School,mural,Lipman,,
Hancock,NH,1824,Miss Mary and Dr. Fredrika Moore House,Porter School,mural,Lipman,,
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,,"color plate 6, color plate 7"
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,,
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,,
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,,
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,,"63, 64"
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,,"45, 69"
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,,
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,,
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,,
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,,
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,,
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,,
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,,
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,,"58, 59"
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,,
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,,"67, 68"
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,,
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,,
Orford,NH,1824,Beale House,Porter School,mural,Lipman,,
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,,color plate 10
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,"""images/colonel_watson.jpg""",NA
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,"""images/lydia_watson.jpg""",NA
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,"""images/jacob_davis.jpg""",NA
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,,color plate 13
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,,
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,,NA
Hopkinton,MA,1820,Judith Carter,Rufus Porter,portrait,RPM,,NA
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,portrait,RPM,,NA
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,portrait,RPM,,NA
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,portrait,RPM,,NA
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,portrait,RPM,,NA
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,portrait,RPM,,NA
Groton,MA,1835,Donald L. Priest House,Johnathan D. Poor,mural,signed,"""images/priest-JDP.png""",95
Wakefield,MA,1835,Emerson House,Rufus Porter,mural,signed,,"89, 90, color plate 11"
