subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Faith Gardner House,Lunenburg,MA,1830,Porter School,mural,Lipman,NA,NA,"Lunenburg, MA","<b>Faith Gardner House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5956389723853,-71.7359819964552,"c(42.5956389723853, -71.7359819964552)"
Sargent House,Merrimac,MA,1830,Porter School,mural,Lipman,NA,NA,"Merrimac, MA","<b>Sargent House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.833827011883,-70.9934059742815,"c(42.833827011883, -70.9934059742815)"
Ronald Shaw HOuse,Merrimacport,MA,1830,Porter School,mural,Lipman,NA,NA,"Merrimacport, MA","<b>Ronald Shaw HOuse</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.8302812190345,-70.9878999380054,"c(42.8302812190345, -70.9878999380054)"
Charles A. Smith House,Townsend,MA,1830,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b>Charles A. Smith House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.6687203516897,-71.7000153842036,"c(42.6687203516897, -71.7000153842036)"
Reed Mansion,Townsend,MA,1830,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b>Reed Mansion</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.6663520449122,-71.7094942254379,"c(42.6663520449122, -71.7094942254379)"
Deacon Libby House,Bridgton,ME,1830,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Bridgton, ME","<b>Deacon Libby House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRYkY_pNi4XSNROp4m0sze55aaS9yjKpk1o5-XZKccp1EU8ycvCP2ojk2vBgMXh8l7d8A_GVB5QW48W/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,44.0563756212814,-70.7007093749435,"c(44.0563756212814, -70.7007093749435)"
Carroll Rounds House,Buxton,ME,1830,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b>Carroll Rounds House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.637304655426,-70.5300784087215,"c(43.637304655426, -70.5300784087215)"
A.I. Poulsen House,Buxton,ME,1830,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b>A.I. Poulsen House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.6418598351372,-70.5196784581879,"c(43.6418598351372, -70.5196784581879)"
Barrows Homestead,Fryeburg,ME,1830,Rufus Porter and Jonathan D. Poor,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Fryeburg, ME","<b>Barrows Homestead</b><br>Attributed to Rufus Porter and Jonathan D. Poor by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vST3k-644MPFICUZhnAOEF9hDZ7305QXgeDCqxA_TP95e07sFnBNMaHjU7u0wkTHEyBD5O_b_0U5H4B/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",rp_mural,RP,44.0136223080552,-70.9680028175714,"c(44.0136223080552, -70.9680028175714)"
Warren-Towle House,Fryeburg,ME,1830,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Fryeburg, ME","<b>Warren-Towle House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ-V62GFhXIhooqhRVee_TgoQOK2E_m_9ib-1mHHxnwbMR8YYxe_a7HACxiXT5aUoYsNoMnKjwaZwSB/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,44.0143318706399,-70.9747525799569,"c(44.0143318706399, -70.9747525799569)"
Dr. Files House,Gorham,ME,1830,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b>Dr. Files House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.6818584391173,-70.4478335908986,"c(43.6818584391173, -70.4478335908986)"
Quillcote,Hollis Center,ME,1830,Porter School,mural,Lipman,NA,NA,"Hollis Center, ME","<b>Quillcote</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.6362175680625,-70.6273579053764,"c(43.6362175680625, -70.6273579053764)"
H.O. Wood House,Lewiston,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b>H.O. Wood House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.1015608940959,-70.2100476173729,"c(44.1015608940959, -70.2100476173729)"
Howard W. Mann House,Lewiston,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b>Howard W. Mann House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.099037567039,-70.213372728615,"c(44.099037567039, -70.213372728615)"
Simon Martson House,Monmouth,ME,1830,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b>Simon Martson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,44.2408208074003,-70.0313799045383,"c(44.2408208074003, -70.0313799045383)"
Ingalls House,South Bridgton,ME,1830,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b>Ingalls House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.9939110618587,-70.7078301274186,"c(43.9939110618587, -70.7078301274186)"
Captain Leavitt House,Turner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Captain Leavitt House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.2548257912587,-70.2496658845374,"c(44.2548257912587, -70.2496658845374)"
Unidentified House,Turner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.2551601450769,-70.2447864299919,"c(44.2551601450769, -70.2447864299919)"
Unidentified House,West Mt. Vernon,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.4506393577274,-70.0132295649834,"c(44.4506393577274, -70.0132295649834)"
Unidentified House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5373880085238,-69.9956024744465,"c(44.5373880085238, -69.9956024744465)"
Cushman Tavern,Webster Corner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Webster Corner, ME","<b>Cushman Tavern</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.0618692147089,-70.0904890568871,"c(44.0618692147089, -70.0904890568871)"
Otis B. Tibbets House,West Auburn,ME,1830,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b>Otis B. Tibbets House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.1581279208781,-70.2891431497621,"c(44.1581279208781, -70.2891431497621)"
Zebulon Trickey House,Westbrook,ME,1830,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Westbrook, ME","<b>Zebulon Trickey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQjkugEsA_rqY5xQbeOI-CvJuzBlt2yh2JjifbRVG0ISz9SfPj-tuHIpvmSL7tvO09yoV0eQ5WDi5HO/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,43.6786719285257,-70.3806911980592,"c(43.6786719285257, -70.3806911980592)"
Elwin Chase House,Topsham,VT,1831,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"Topsham, VT","<b>Elwin Chase House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1831<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,44.1322867476646,-72.2605776318399,"c(44.1322867476646, -72.2605776318399)"
G. Arthur Merrill House,Georgetown,MA,1832,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>G. Arthur Merrill House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7230646570631,-70.9933936057988,"c(42.7230646570631, -70.9933936057988)"
Pingree House,Georgetown,MA,1832,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>Pingree House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.723330873629,-70.9929120383162,"c(42.723330873629, -70.9929120383162)"
Pierce House,Georgetown,MA,1832,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>Pierce House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7281247557933,-70.9796799640433,"c(42.7281247557933, -70.9796799640433)"
Ethel M. Fredrick House,Georgetown,MA,1832,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>Ethel M. Fredrick House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7291856864432,-70.9925980424764,"c(42.7291856864432, -70.9925980424764)"
John C. Wilkins House,Georgetown,MA,1832,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b>John C. Wilkins House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1832<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7250326697946,-71.0025649973796,"c(42.7250326697946, -71.0025649973796)"
Poor-Perry House,Andover,MA,1835,Porter School,mural,Lipman,NA,NA,"Andover, MA","<b>Poor-Perry House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.6589637230138,-71.1419647586759,"c(42.6589637230138, -71.1419647586759)"
Levi Prosser House,Charlestown,MA,1835,Porter School,mural,Lipman,NA,NA,"Charlestown, MA","<b>Levi Prosser House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.3772582848127,-71.0645641549192,"c(42.3772582848127, -71.0645641549192)"
Dr. Harold Ayers House,Groton,MA,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"Groton, MA","<b>Dr. Harold Ayers House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,42.6126060304318,-71.5608636265587,"c(42.6126060304318, -71.5608636265587)"
Van Heusen Seventeenth-Century Farms,North Reading,MA,1835,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"North Reading, MA","<b>Van Heusen Seventeenth-Century Farms</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,42.5711433267939,-71.0692064312656,"c(42.5711433267939, -71.0692064312656)"
Frances Shay Mague House,North Reading,MA,1835,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>Frances Shay Mague House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5732381649245,-71.0838451967395,"c(42.5732381649245, -71.0838451967395)"
Weeks Memorial Library,North Reading,MA,1835,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>Weeks Memorial Library</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5735831971728,-71.0735158201093,"c(42.5735831971728, -71.0735158201093)"
House near Route 28,North Reading,MA,1835,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b>House near Route 28</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5738076866515,-71.0767566624814,"c(42.5738076866515, -71.0767566624814)"
Winn House,Wakefield,MA,1835,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Winn House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.50733946298,-71.0767647205243,"c(42.50733946298, -71.0767647205243)"
Franklin Poole House,Wakefield,MA,1835,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Franklin Poole House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5067558924239,-71.0749123091048,"c(42.5067558924239, -71.0749123091048)"
Lilly Eaton House,Wakefield,MA,1835,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Lilly Eaton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5046295580362,-71.0766272852067,"c(42.5046295580362, -71.0766272852067)"
Thomas Walton House,Wakefield,MA,1835,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Thomas Walton House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5040962578298,-71.0828828107713,"c(42.5040962578298, -71.0828828107713)"
Kenneth Odiorne House,Wakefield,MA,1835,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b>Kenneth Odiorne House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5053500922101,-71.0637591093903,"c(42.5053500922101, -71.0637591093903)"
Whitman Homestead,Bryant Pond,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b>Whitman Homestead</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.3981322898793,-70.5884278374171,"c(44.3981322898793, -70.5884278374171)"
Leon H. Marr House,West Mt. Vernon,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Leon H. Marr House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.4544962466948,-70.0220041544868,"c(44.4544962466948, -70.0220041544868)"
Unidentified House,Turner,ME,1830,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b>Unidentified House</b><br>Attributed to Orison Wood by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,44.2559040974297,-70.268922814311,"c(44.2559040974297, -70.268922814311)"
Unidentified House,West Mt. Vernon,ME,1835,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b>Unidentified House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1835<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.4562096498019,-70.0111838365213,"c(44.4562096498019, -70.0111838365213)"
Unidentified House,Vienna,ME,1833,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b>Unidentified House</b><br>Traditionally attributed to Jonathan D. Poor<br>Circa 1833<br><img src='NA', width = '200'><br><small>Image from NA</small>",jdp,JDP,44.5358480686451,-69.9820336823821,"c(44.5358480686451, -69.9820336823821)"
John A. Andrew House,West Boxford,MA,1838,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"West Boxford, MA","<b>John A. Andrew House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,42.7041025595793,-71.0509071411208,"c(42.7041025595793, -71.0509071411208)"
Joseph Burgson House,West Boxford,MA,1838,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b>Joseph Burgson House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7109235799461,-71.052742377814,"c(42.7109235799461, -71.052742377814)"
Hovey House,West Boxford,MA,1838,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b>Hovey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7116306064352,-71.0665494659887,"c(42.7116306064352, -71.0665494659887)"
Reuben Guild House,Westwood,MA,1838,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b>Reuben Guild House</b><br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",rp_mural,RP,42.2109684537695,-71.233349905405,"c(42.2109684537695, -71.233349905405)"
Allen House,Westwood,MA,1838,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b>Allen House</b><br>Attributed to Rufus Porter and Stephen Twombly Porter by Jean Lipman<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",rp_mural,RP,42.2135024797904,-71.2311969590725,"c(42.2135024797904, -71.2311969590725)"
Hezekiah Hutchins House,Rumford,ME,1840,Jonathan D. Poor,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Rumford, ME","<b>Hezekiah Hutchins House</b><br>Attributed to Jonathan D. Poor by Jean Lipman<br>Circa 1840<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",jdp,JDP,44.5514623604734,-70.556168104038,"c(44.5514623604734, -70.556168104038)"
Beacon Hill Boarding House,Boston,MA,1843,Porter School,mural,Lipman,NA,NA,"Boston, MA","<b>Beacon Hill Boarding House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1843<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.3566587288152,-71.0621640984913,"c(42.3566587288152, -71.0621640984913)"
Senigo House,East Weymouth,MA,1845,Porter School,mural,Lipman,NA,NA,"East Weymouth, MA","<b>Senigo House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1845<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.2211617938107,-70.9529472662129,"c(42.2211617938107, -70.9529472662129)"
Fox House,Gorham,ME,1851,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b>Fox House</b><br>Attributed to Granville Fernald by Jean Lipman<br>Circa 1851<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,43.6818263469655,-70.4378061610808,"c(43.6818263469655, -70.4378061610808)"
Pride House,Westbrook,ME,1851,Granville Fernald,mural,Lipman,NA,NA,"Westbrook, ME","<b>Pride House</b><br>Attributed to Granville Fernald by Jean Lipman<br>Circa 1851<br><img src='NA', width = '200'><br><small>Image from NA</small>",other,other,43.6742949165604,-70.361987537033,"c(43.6742949165604, -70.361987537033)"
Jacob Davis,Minot,ME,1815,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vRTi4N-J6NMl0vrGI9ldDGB5lFDYRqmfny_qYp0LSGQkCojv2aqZE11PsU01JnikwXPQIU0PNlif38V/pub?w=960&h=720,"Museum of Fine Arts, Boston","Minot, ME","<b>Jacob Davis</b><br>Attributed to  Rufus Porter<br>Circa 1815<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRTi4N-J6NMl0vrGI9ldDGB5lFDYRqmfny_qYp0LSGQkCojv2aqZE11PsU01JnikwXPQIU0PNlif38V/pub?w=960&h=720', width = '200'><br><small>Image from Museum of Fine Arts, Boston</small>",portrait,RP,44.1551799495179,-70.3551110254929,"c(44.1551799495179, -70.3551110254929)"
Colonel Jacob W. Watson,Princeton,MA,1833,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vS6BpsDZ_dva4oOibWk8ZCYGIn-5jC8QJ7x02OXN8fPUX9bEbE7CtcZ9H__T7cy-f6LuVESagdrKNCm/pub?w=960&h=720,"Museum of Fine Arts, Boston","Princeton, MA","<b>Colonel Jacob W. Watson</b><br>Attributed to  Rufus Porter<br>Circa 1833<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS6BpsDZ_dva4oOibWk8ZCYGIn-5jC8QJ7x02OXN8fPUX9bEbE7CtcZ9H__T7cy-f6LuVESagdrKNCm/pub?w=960&h=720', width = '200'><br><small>Image from Museum of Fine Arts, Boston</small>",portrait,RP,42.4480074464969,-71.886046962385,"c(42.4480074464969, -71.886046962385)"
Lydia Watson,Princeton,MA,1833,Rufus Porter,portrait,MFA,https://docs.google.com/drawings/d/e/2PACX-1vThhCm9JHQv-ID3TJTNJUaiuYrMKPB2HJY0CPHte-rtcosNcf9LdWmvq0CtFPC9tzO0M_1dAPrp5x1V/pub?w=960&h=720,"Museum of Fine Arts, Boston","Princeton, MA","<b>Lydia Watson</b><br>Attributed to  Rufus Porter<br>Circa 1833<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vThhCm9JHQv-ID3TJTNJUaiuYrMKPB2HJY0CPHte-rtcosNcf9LdWmvq0CtFPC9tzO0M_1dAPrp5x1V/pub?w=960&h=720', width = '200'><br><small>Image from Museum of Fine Arts, Boston</small>",portrait,RP,42.4510311866823,-71.8691214833531,"c(42.4510311866823, -71.8691214833531)"
Captain Samuel Benjamin House,Winthrop,ME,1830,Porter School,mural,MSM,https://docs.google.com/drawings/d/e/2PACX-1vSFidbgYNfvoip9GJN7TeLSg6d9ssE9dsMqL5SO2XnBaXJe4tA9b3tlnN3mNBfslBdONZlQolQS_okB/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"Winthrop, ME","<b>Captain Samuel Benjamin House</b><br>Attributed to  Porter School<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSFidbgYNfvoip9GJN7TeLSg6d9ssE9dsMqL5SO2XnBaXJe4tA9b3tlnN3mNBfslBdONZlQolQS_okB/pub?w=960&h=720', width = '200'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",school,school,44.3063399838557,-69.9799972219368,"c(44.3063399838557, -69.9799972219368)"
Oliver Wight House,Sturbridge,MA,1830,Porter School,mural,OSV,https://upload.wikimedia.org/wikipedia/commons/8/8f/OWHPortermural2.jpg,Wikimedia Commons,"Sturbridge, MA","<b>Oliver Wight House</b><br>Attributed to  Porter School<br>Circa 1830<br><img src='https://upload.wikimedia.org/wikipedia/commons/8/8f/OWHPortermural2.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",school,school,42.1110967718459,-72.0799870818854,"c(42.1110967718459, -72.0799870818854)"
Besty Long Ellis,Middleboro,MA,1815,Rufus Porter,portrait,RPM,NA,NA,"Middleboro, MA","<b>Besty Long Ellis</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1815<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,41.8946357722648,-70.9208945006782,"c(41.8946357722648, -70.9208945006782)"
Mary Gorham Irish,Gorham,ME,1819,Rufus Porter,portrait,RPM,NA,NA,"Gorham, ME","<b>Mary Gorham Irish</b><br>Attributed to Rufus Porter by the Rufus Porter Museum<br>Circa 1819<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,43.6799867296175,-70.4486626010259,"c(43.6799867296175, -70.4486626010259)"
