subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Jane Noyes Gage,Lawrence,MA,1838,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b>Jane Noyes Gage</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.7069770879606,-71.1665912766614,"c(42.7069770879606, -71.1665912766614)"
Joseph Nichols Gage,Lawrence,MA,1838,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b>Joseph Nichols Gage</b><br>Attributed to Rufus Porter by Bowdoin College Museum of Art<br>Circa 1838<br><img src='NA', width = '200'><br><small>Image from NA</small>",portrait,RP,42.7039025868571,-71.1662551003872,"c(42.7039025868571, -71.1662551003872)"
Fruitlands Museums,Harvard,MA,1830,Porter School,mural,Fruitlands Museums,NA,NA,"Harvard, MA","<b>Fruitlands Museums</b><br>Attributed to  Porter School<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5021308684226,-71.5890434634469,"c(42.5021308684226, -71.5890434634469)"
Coburn Tavern,East Peperell,MA,1824,Porter School,mural,Lipman,NA,NA,"East Peperell, MA","<b>Coburn Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.6631153652002,-71.5772967327913,"c(42.6631153652002, -71.5772967327913)"
Ellerton Jette House,Sebec,ME,1824,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,NA,"Sebec, ME","<b>Ellerton Jette House</b><br>Attributed to Rufus Porter and Moses Eaton, Jr. by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",rp_mural,RP,45.275517991778,-69.1209219536107,"c(45.275517991778, -69.1209219536107)"
Prescott Tavern,East Jaffrey,NH,1824,Porter School,mural,Lipman,https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg,Wikimedia Commons,"East Jaffrey, NH","<b>Prescott Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg', width = '200'><br><small>Image from Wikimedia Commons</small>",school,school,42.8145666500445,-72.0126261798433,"c(42.8145666500445, -72.0126261798433)"
Don Pierce House,East Jaffrey,NH,1824,Porter School,mural,Lipman,NA,NA,"East Jaffrey, NH","<b>Don Pierce House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.8107713701868,-72.0307592278041,"c(42.8107713701868, -72.0307592278041)"
Miss Mary and Dr. Fredrika Moore House,Hancock,NH,1824,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b>Miss Mary and Dr. Fredrika Moore House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.9727147232909,-71.9674366678004,"c(42.9727147232909, -71.9674366678004)"
Bidwell Tavern,Langdon,NH,1824,Porter School,mural,Lipman,NA,NA,"Langdon, NH","<b>Bidwell Tavern</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.1670288884171,-72.387310725484,"c(43.1670288884171, -72.387310725484)"
Beale House,Orford,NH,1824,Porter School,mural,Lipman,NA,NA,"Orford, NH","<b>Beale House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1824<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.9002708208979,-72.140927807099,"c(43.9002708208979, -72.140927807099)"
Neighborhood House,Dover,NH,1825,Porter School,mural,Lipman,NA,NA,"Dover, NH","<b>Neighborhood House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1825<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,43.1943805736741,-70.8690856289653,"c(43.1943805736741, -70.8690856289653)"
