town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Nathan Peabody Ames","c(-71.3744403864529, 42.6064753045521)",portrait
Hopkinton,MA,1820,Judith Carter,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b> Hopkinton, MA </b> <br> Rufus Porter <br> Judith Carter","c(-71.5219961985236, 42.2420382979053)",portrait
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b> Hopkinton, MA </b> <br> Rufus Porter <br> Timothy Carter","c(-71.5264938786605, 42.2386618953921)",portrait
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,portrait,RPM,NA,NA,"Middleboro, MA","<b> Middleboro, MA </b> <br> Rufus Porter <br> Besty Long Ellis","c(-70.916529818222, 41.880105617027)",portrait
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,portrait,RPM,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Rufus Porter <br> Mary Gorham Irish","c(-70.4463435269372, 43.6734824730166)",portrait
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b> Cooperstown, NY </b> <br> Rufus Porter <br> Mrs. Cooper","c(-74.9171655804955, 42.7023113936352)",portrait
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b> Cooperstown, NY </b> <br> Rufus Porter <br> Mr. Cooper","c(-74.9166601702418, 42.6999385616422)",portrait
Groton,MA,1835,Donald L. Priest House,Jonathan D. Poor,mural,signed,"""images/priest-JDP.png""",95,"Groton, MA","<b> Groton, MA </b> <br> Jonathan D. Poor <br> Donald L. Priest House","c(-71.5841686730067, 42.6212908285825)",jdp
Wakefield,MA,1835,Emerson House,Rufus Porter,mural,signed,NA,"89, 90, color plate 11","Wakefield, MA","<b> Wakefield, MA </b> <br> Rufus Porter <br> Emerson House","c(-71.0687466473735, 42.4970760920728)",rp_mural
Westwood,MA,1838,Dr. Francis Howe House,Rufus Porter and Stephen Twombly Porter,mural,signed,"""images/francis-howe.jpeg""","81-84, color plate 16","Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Dr. Francis Howe House","c(-71.2233203116218, 42.2095720460296)",rp_mural
Woburn,MA,1835,Shaker Glenn Inn,Porter School,mural,signed,NA,NA,"Woburn, MA","<b> Woburn, MA </b> <br> Porter School <br> Shaker Glenn Inn","c(-71.1428813692762, 42.4836493829154)",school
Chesterville,ME,1834,Professor Diller House,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Professor Diller House","c(-70.0778862923652, 44.5597760411589)",jdp
Chesterville,ME,1834,Fuller Dyke House,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Fuller Dyke House","c(-70.096052209754, 44.5581624154827)",jdp
East Baldwin,ME,1840,Lorenzo Norton House,Jonathan D. Poor,mural,signed,"""images/norton-JDP.png""",NA,"East Baldwin, ME","<b> East Baldwin, ME </b> <br> Jonathan D. Poor <br> Lorenzo Norton House","c(-70.6670439899237, 43.8165493653444)",jdp
North Parsonfield,ME,1830,Curtis M. Sweat House,Jonathan D. Poor and Paine,mural,signed,NA,"color plate 19, color plate 20","North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Curtis M. Sweat House","c(-70.920425613384, 43.7460088363105)",jdp
Parsonfield,ME,1830,Chillis House,Jonathan D. Poor,mural,signed,"""images/chellis-JDP.png""",NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Jonathan D. Poor <br> Chillis House","c(-70.9219614259654, 43.736914136458)",jdp
Readfield,ME,1835,Judge Bean House,Jonathan D. Poor,mural,signed,"""images/judge-bean-JDP.png""",NA,"Readfield, ME","<b> Readfield, ME </b> <br> Jonathan D. Poor <br> Judge Bean House","c(-69.9712004097017, 44.3967037024502)",jdp
Winthrop,ME,1830,Frank Hanson House,E.V. Bennett,mural,signed,NA,NA,"Winthrop, ME","<b> Winthrop, ME </b> <br> E.V. Bennett <br> Frank Hanson House","c(-69.9764074230288, 44.3025567389898)",other
Winthrop,ME,1830,Knowlton House,E.J. Gilbert,mural,signed,NA,100,"Winthrop, ME","<b> Winthrop, ME </b> <br> E.J. Gilbert <br> Knowlton House","c(-69.9685001753254, 44.3115787860199)",other
Plainville,CT,1835,Julia Lottie Hills,Rufus Porter,portrait,signed,NA,NA,"Plainville, CT","<b> Plainville, CT </b> <br> Rufus Porter <br> Julia Lottie Hills","c(-72.8656161657418, 41.6641191009965)",portrait
Westwood,MA,1838,E.A. West House,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,"78, 79","Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> E.A. West House","c(-71.2276902377289, 42.2010464355294)",rp_mural
Westwood,MA,1838,Storer Ware House,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Storer Ware House","c(-71.22584428084, 42.2179438896853)",rp_mural
Bethel,ME,1835,Dr. Moses Mason House,Jonathan D. Poor,mural,tradition,NA,color plate 18,"Bethel, ME","<b> Bethel, ME </b> <br> Jonathan D. Poor <br> Dr. Moses Mason House","c(-70.7933405086413, 44.3917458876115)",jdp
Chesterville,ME,1834,Captain Thomas Williams House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Captain Thomas Williams House","c(-70.0918672711327, 44.5565661732412)",jdp
Chesterville,ME,1834,Lyman Whittier House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Lyman Whittier House","c(-70.0943896736555, 44.5523886307646)",jdp
Chesterville,ME,1834,Thomas Austin House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Thomas Austin House","c(-70.0774792857252, 44.5598129957904)",jdp
Cornish,ME,1830,Thompkins House,Porter School,mural,tradition,NA,NA,"Cornish, ME","<b> Cornish, ME </b> <br> Porter School <br> Thompkins House","c(-70.7984656265667, 43.7985524506876)",school
Farmington,ME,1835,Milton Gay House,Jonathan D. Poor and Paine,mural,tradition,NA,97,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Milton Gay House","c(-70.1606465342656, 44.6760633496234)",jdp
Farmington,ME,1835,Gerald York House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> Gerald York House","c(-70.1484726737623, 44.6802797587347)",jdp
Farmington,ME,1835,Benjamin Stanley House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> Benjamin Stanley House","c(-70.1573783616919, 44.6816492651892)",jdp
Farmington,ME,1835,David E. Currier House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> David E. Currier House","c(-70.1610532592116, 44.6603669555586)",jdp
Farmington,ME,1830,Jonathan Cushman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Jonathan Cushman House","c(-70.1575971958061, 44.6668441936507)",jdp
Farmington,ME,1830,William Gilman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> William Gilman House","c(-70.1541811602759, 44.6763864698937)",jdp
Farmington,ME,1830,David Ingham House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> David Ingham House","c(-70.1547720988123, 44.6776058276897)",jdp
Farmington,ME,1830,Robert C. Bruce House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Robert C. Bruce House","c(-70.143350779798, 44.6737605239597)",jdp
Farmington Falls,ME,1830,Russ House,Jonathan D. Poor and Paine,mural,tradition,NA,96,"Farmington Falls, ME","<b> Farmington Falls, ME </b> <br> Jonathan D. Poor and Paine <br> Russ House","c(-70.0703376615765, 44.6260274547987)",jdp
Fayette,ME,1835,Lieutenant John Lovejoy House,Jonathan D. Poor,mural,tradition,NA,NA,"Fayette, ME","<b> Fayette, ME </b> <br> Jonathan D. Poor <br> Lieutenant John Lovejoy House","c(-70.0399733381534, 44.4037251608033)",jdp
Limerick,ME,1830,McDonald Inn,Paine,mural,tradition,NA,NA,"Limerick, ME","<b> Limerick, ME </b> <br> Paine <br> McDonald Inn","c(-70.7909833127177, 43.6975719757829)",other
Limerick,ME,1830,Furlong House,Paine,mural,tradition,NA,NA,"Limerick, ME","<b> Limerick, ME </b> <br> Paine <br> Furlong House","c(-70.8011257063099, 43.6887005370114)",other
Mt. Vernon,ME,1835,Burbank House,Jonathan D. Poor,mural,tradition,"""images/silas-burbank-JDP.png""",NA,"Mt. Vernon, ME","<b> Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Burbank House","c(-69.9851418647613, 44.5058376807066)",jdp
Mt. Vernon,ME,1835,Arthur Gordon House,Jonathan D. Poor,mural,tradition,NA,NA,"Mt. Vernon, ME","<b> Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Arthur Gordon House","c(-69.9856733641496, 44.5139614769072)",jdp
New Sharon,ME,1840,Robert C. Bruce House,Jonathan D. Poor,mural,tradition,NA,NA,"New Sharon, ME","<b> New Sharon, ME </b> <br> Jonathan D. Poor <br> Robert C. Bruce House","c(-70.0165963618813, 44.6260838660017)",jdp
North Parsonfield,ME,1830,Frank Chapman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Frank Chapman House","c(-70.9211386882157, 43.7496010629899)",jdp
North Parsonfield,ME,1830,Helen Cating House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Helen Cating House","c(-70.9291286879893, 43.758927456719)",jdp
North Parsonfield,ME,1830,Dr. William Reid House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Dr. William Reid House","c(-70.9186757113562, 43.7530306793821)",jdp
Readfield,ME,1835,Captain Dudley Haines House,Jonathan D. Poor,mural,tradition,NA,"color plate 21, color plate 22","Readfield, ME","<b> Readfield, ME </b> <br> Jonathan D. Poor <br> Captain Dudley Haines House","c(-69.9657414970617, 44.3897887030904)",jdp
Standish,ME,1830,Warren Pederson House,Jonathan D. Poor,mural,tradition,"""images/warran-pederson-JDP.png""",color plate 17,"Standish, ME","<b> Standish, ME </b> <br> Jonathan D. Poor <br> Warren Pederson House","c(-70.5496839144846, 43.7463839544901)",jdp
Standish,ME,1830,Barbara E. Parker House,Paine,mural,tradition,NA,NA,"Standish, ME","<b> Standish, ME </b> <br> Paine <br> Barbara E. Parker House","c(-70.5559522138224, 43.7377848688429)",other
Strong,ME,1835,William McClary House,Jonathan D. Poor,mural,tradition,NA,NA,"Strong, ME","<b> Strong, ME </b> <br> Jonathan D. Poor <br> William McClary House","c(-70.2124994111186, 44.8162748611251)",jdp
Vienna,ME,1833,Nathaniel Whittier House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Nathaniel Whittier House","c(-69.9832497594798, 44.5342804716654)",jdp
Vienna,ME,1833,Gilman Batchelder House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Gilman Batchelder House","c(-69.9889292260446, 44.5392697261869)",jdp
Vienna,ME,1833,Unidentified House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Unidentified House","c(-69.9928597198128, 44.5424964546995)",jdp
Bradford,NH,1824,Joshua Eaton House,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,NA,"60, color plate 3, color plate 5","Bradford, NH","<b> Bradford, NH </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Joshua Eaton House","c(-71.9506096799941, 43.2811802938482)",rp_mural
