town,state,year,subject,creator,type,attribution,image,fig_num (in Lipman),
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,,"45, 69",
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,,,
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,,,
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,,,
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,,,
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,,,
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,,,
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,,,
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,,"58, 59",
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,,,
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,,"67, 68",
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,,,
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,,,
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,,,
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,,,
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,,,
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,,,
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,,,
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,,,
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,,,
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,,,
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,,,
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,,,
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,,,
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,,,
East Haverhill,MA,1830,Ingalls-Colby House,Porter School,mural,Lipman,,72,
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,,,
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,,,
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,,,
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,,,
Harvard,MA,1830,Joseph E. Lamborghini House,Porter School,mural,Lipman,,,
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,,,
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,,,
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,,,
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,,76,
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,,,
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,,,
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,,,
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,,,
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,,,
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,,,
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,,,
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,,"color plate 14, color plate 15",
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,,,
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,,,
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,,"70, 71",
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,,,
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,,,
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,,,
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,,,
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,,,
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,,,
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,,93,
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,,,
Westbrook,ME,1830,Zebulon Trickey House,Porter School,mural,Lipman,,,
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,,color plate 10,
Georgetown,MA,1832,G. Arthur Merrill House,Porter School,mural,Lipman,,,
Georgetown,MA,1832,Pingree House,Porter School,mural,Lipman,,,
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,,,
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,,,
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,,,
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,,,
Charlestown,MA,1835,Levi Prosser House,Porter School,mural,Lipman,,,
Groton,MA,1835,Dr. Harold Ayers House,Johnathan D. Poor,mural,Lipman,,,
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,,color plate 9,
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,,,
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,,,
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,,,
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,,,
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,,,
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,,,
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,,,
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,,,
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,,,
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,,,
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,,,
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,,color plate 12,
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,,,
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,,,
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,,,
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,,,
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,,,
Boston,MA,1843,Beacon Hill Boarding House,Porter School,mural,Lipman,,,
East Weymouth,MA,1845,Senigo House,Porter School,mural,Lipman,,,
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,,,
Westbrook,ME,1851,Pride House,Granville Fernald,mural,Lipman,,,
Denmark,ME,1830,Cyrus Ingalls House,Porter School,mural,LR,,,
Poland,ME,1815,Lady of the Lane Family,Rufus Porter,portrait,LR,,,
Poland,ME,1815,Man of the Lane Family,Rufus Porter,portrait,LR,,,
Concord,NH,1822,Phoebe Parkhurst Mann,Rufus Porter,portrait,LR,,,
Concord,NH,1822,Solomon Mann,Rufus Porter,portrait,LR,,,
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,"""images/jacob_davis.jpg""",NA,
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,"""images/colonel_watson.jpg""",NA,
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,"""images/lydia_watson.jpg""",NA,
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,,color plate 13,
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,,,
Bridgton,ME,1828,Nathan Church House,Porter School,mural,RPM,,,
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,portrait,RPM,,NA,
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,portrait,RPM,,NA,
Hopkinton,MA,1820,Judith Carter,Rufus Porter,portrait,RPM,,NA,
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,portrait,RPM,,NA,
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,portrait,RPM,,NA,
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,portrait,RPM,,NA,
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,,NA,
Pepperell,MA,1830,John Durant House,Johnathan D. Poor,mural,signed,,,
Groton,MA,1830,Oliver Prescott House,Jonathan D. Poor,mural,signed,,,
North Parsonfield,ME,1830,Dr. Moses Sweat House,Jonathan D. Poor and Paine,mural,signed,,"color plate 19, color plate 20",
Parsonfield,ME,1830,Dalton House,Jonathan D. Poor,mural,signed,,,
Parsonfield,ME,1830,Chillis House,Jonathan D. Poor,mural,signed,,,"""images/chellis-JDP.png"""
Parsonfield,ME,1830,Captain James Morison House,Jonathan D. Poor,mural,signed,,,
Winthrop,ME,1830,Frank Hanson House,E.V. Bennett,mural,signed,,,
Winthrop,ME,1830,Knowlton House,E.J. Gilbert,mural,signed,,100,
Vienna,ME,1832,Jacob Johnson House,Jonathan D. Poor,mural,signed,,,
Chesterville,ME,1834,Professor Diller House,Jonathan D. Poor,mural,signed,,,
Chesterville,ME,1834,Fuller Dyke House,Jonathan D. Poor,mural,signed,,,
Groton,MA,1835,Donald L. Priest House,Johnathan D. Poor,mural,signed,,95,"""images/priest-JDP.png"""
Wakefield,MA,1835,Emerson House,Rufus Porter,mural,signed,,"89, 90, color plate 11",
Woburn,MA,1835,Shaker Glenn Inn,Rufus Porter,mural,signed,,,
Mt. Vernon,ME,1835,Burbank House,Jonathan D. Poor,mural,signed,"""images/silas-burbank-JDP.png""",,
Readfield,ME,1835,Judge Bean House,Jonathan D. Poor,mural,signed,,,"""images/judge-bean-JDP.png"""
Westwood,MA,1838,Dr. Francis Howe House,Rufus Porter and Stephen Twombly Porter,mural,signed,,"81-84, color plate 16","""images/francis-howe.jpeg"""
East Baldwin,ME,1840,Dr. James Norton House,Jonathan D. Poor,mural,signed,,,"""images/norton-JDP.png"""
Mercer,ME,1842,Unidentified House,Jonathan D. Poor,mural,signed,,,
Plainville,CT,1835,Julia Lottie Hills,Rufus Porter,portrait,signed,,NA,
