town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Chelmsford,MA,1825,Nathan Peabody Ames,Rufus Porter,portrait,RPM,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Nathan Peabody Ames","c(-71.3647027017141, 42.6088961361665)",portrait
Hopkinton,MA,1820,Judith Carter,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b> Hopkinton, MA </b> <br> Rufus Porter <br> Judith Carter","c(-71.5317269464891, 42.21689379664)",portrait
Hopkinton,MA,1820,Timothy Carter,Rufus Porter,portrait,RPM,NA,NA,"Hopkinton, MA","<b> Hopkinton, MA </b> <br> Rufus Porter <br> Timothy Carter","c(-71.5301827569266, 42.2391541575362)",portrait
Middleboro,MA,1815,Besty Long Ellis,Rufus Porter,portrait,RPM,NA,NA,"Middleboro, MA","<b> Middleboro, MA </b> <br> Rufus Porter <br> Besty Long Ellis","c(-70.9129780237609, 41.9042638228321)",portrait
Gorham,ME,1819,Mary Gorham Irish,Rufus Porter,portrait,RPM,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Rufus Porter <br> Mary Gorham Irish","c(-70.4494917982224, 43.68773924626)",portrait
Cooperstown,NY,1820,Mrs. Cooper,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b> Cooperstown, NY </b> <br> Rufus Porter <br> Mrs. Cooper","c(-74.9314570225936, 42.692045169518)",portrait
Cooperstown,NY,1820,Mr. Cooper,Rufus Porter,portrait,RPM,NA,NA,"Cooperstown, NY","<b> Cooperstown, NY </b> <br> Rufus Porter <br> Mr. Cooper","c(-74.9249010580343, 42.7140607061589)",portrait
Groton,MA,1835,Donald L. Priest House,Jonathan D. Poor,mural,signed,"""images/priest-JDP.png""",95,"Groton, MA","<b> Groton, MA </b> <br> Jonathan D. Poor <br> Donald L. Priest House","c(-71.5704694070304, 42.6010795958929)",jdp
Wakefield,MA,1835,Emerson House,Rufus Porter,mural,signed,NA,"89, 90, color plate 11","Wakefield, MA","<b> Wakefield, MA </b> <br> Rufus Porter <br> Emerson House","c(-71.0789224394062, 42.4946917461828)",rp_mural
Westwood,MA,1838,Dr. Francis Howe House,Rufus Porter and Stephen Twombly Porter,mural,signed,"""images/francis-howe.jpeg""","81-84, color plate 16","Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Dr. Francis Howe House","c(-71.2334490672009, 42.2045848728738)",rp_mural
Woburn,MA,1835,Shaker Glenn Inn,Porter School,mural,signed,NA,NA,"Woburn, MA","<b> Woburn, MA </b> <br> Porter School <br> Shaker Glenn Inn","c(-71.1554520614518, 42.4671917609219)",school
Chesterville,ME,1834,Professor Diller House,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Professor Diller House","c(-70.0874700720232, 44.5468424759439)",jdp
Chesterville,ME,1834,Fuller Dyke House,Jonathan D. Poor,mural,signed,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Fuller Dyke House","c(-70.0830762036827, 44.5493582821144)",jdp
East Baldwin,ME,1840,Lorenzo Norton House,Jonathan D. Poor,mural,signed,"""images/norton-JDP.png""",NA,"East Baldwin, ME","<b> East Baldwin, ME </b> <br> Jonathan D. Poor <br> Lorenzo Norton House","c(-70.6774791553659, 43.8043208886918)",jdp
North Parsonfield,ME,1830,Curtis M. Sweat House,Jonathan D. Poor and Paine,mural,signed,NA,"color plate 19, color plate 20","North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Curtis M. Sweat House","c(-70.9319178878276, 43.7693344334212)",jdp
Parsonfield,ME,1830,Chillis House,Jonathan D. Poor,mural,signed,"""images/chellis-JDP.png""",NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Jonathan D. Poor <br> Chillis House","c(-70.9380729961697, 43.7249047184757)",jdp
Readfield,ME,1835,Judge Bean House,Jonathan D. Poor,mural,signed,"""images/judge-bean-JDP.png""",NA,"Readfield, ME","<b> Readfield, ME </b> <br> Jonathan D. Poor <br> Judge Bean House","c(-69.9604311863637, 44.397799753496)",jdp
Winthrop,ME,1830,Frank Hanson House,E.V. Bennett,mural,signed,NA,NA,"Winthrop, ME","<b> Winthrop, ME </b> <br> E.V. Bennett <br> Frank Hanson House","c(-69.9736938770948, 44.2962745969498)",other
Winthrop,ME,1830,Knowlton House,E.J. Gilbert,mural,signed,NA,100,"Winthrop, ME","<b> Winthrop, ME </b> <br> E.J. Gilbert <br> Knowlton House","c(-69.9823688524881, 44.2955467591767)",other
Plainville,CT,1835,Julia Lottie Hills,Rufus Porter,portrait,signed,NA,NA,"Plainville, CT","<b> Plainville, CT </b> <br> Rufus Porter <br> Julia Lottie Hills","c(-72.8616785899192, 41.6702728949283)",portrait
Westwood,MA,1838,E.A. West House,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,"78, 79","Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> E.A. West House","c(-71.214708865065, 42.2036959148895)",rp_mural
Westwood,MA,1838,Storer Ware House,Rufus Porter and Stephen Twombly Porter,mural,tradition,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Storer Ware House","c(-71.2271664963238, 42.2224696220552)",rp_mural
Bethel,ME,1835,Dr. Moses Mason House,Jonathan D. Poor,mural,tradition,NA,color plate 18,"Bethel, ME","<b> Bethel, ME </b> <br> Jonathan D. Poor <br> Dr. Moses Mason House","c(-70.7836701785625, 44.4082961313179)",jdp
Chesterville,ME,1834,Captain Thomas Williams House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Captain Thomas Williams House","c(-70.0909383554161, 44.5565510048402)",jdp
Chesterville,ME,1834,Lyman Whittier House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Lyman Whittier House","c(-70.0796360308952, 44.5637683166213)",jdp
Chesterville,ME,1834,Thomas Austin House,Jonathan D. Poor,mural,tradition,NA,NA,"Chesterville, ME","<b> Chesterville, ME </b> <br> Jonathan D. Poor <br> Thomas Austin House","c(-70.0952944240881, 44.5642487679958)",jdp
Cornish,ME,1830,Thompkins House,Porter School,mural,tradition,NA,NA,"Cornish, ME","<b> Cornish, ME </b> <br> Porter School <br> Thompkins House","c(-70.7971020152616, 43.7950147266849)",school
Farmington,ME,1835,Milton Gay House,Jonathan D. Poor and Paine,mural,tradition,NA,97,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Milton Gay House","c(-70.147731582497, 44.6643908282101)",jdp
Farmington,ME,1835,Gerald York House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> Gerald York House","c(-70.1438887122954, 44.6614045897151)",jdp
Farmington,ME,1835,Benjamin Stanley House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> Benjamin Stanley House","c(-70.1598363712996, 44.6706797102079)",jdp
Farmington,ME,1835,David E. Currier House,Jonathan D. Poor,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor <br> David E. Currier House","c(-70.158841922315, 44.6760197100929)",jdp
Farmington,ME,1830,Jonathan Cushman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Jonathan Cushman House","c(-70.1432724526154, 44.6787987726169)",jdp
Farmington,ME,1830,William Gilman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> William Gilman House","c(-70.1585927297916, 44.6723172716568)",jdp
Farmington,ME,1830,David Ingham House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> David Ingham House","c(-70.1577106201195, 44.6712580300283)",jdp
Farmington,ME,1830,Robert C. Bruce House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"Farmington, ME","<b> Farmington, ME </b> <br> Jonathan D. Poor and Paine <br> Robert C. Bruce House","c(-70.149058624568, 44.6751594656563)",jdp
Farmington Falls,ME,1830,Russ House,Jonathan D. Poor and Paine,mural,tradition,NA,96,"Farmington Falls, ME","<b> Farmington Falls, ME </b> <br> Jonathan D. Poor and Paine <br> Russ House","c(-70.0647123739682, 44.6262287929951)",jdp
Fayette,ME,1835,Lieutenant John Lovejoy House,Jonathan D. Poor,mural,tradition,NA,NA,"Fayette, ME","<b> Fayette, ME </b> <br> Jonathan D. Poor <br> Lieutenant John Lovejoy House","c(-70.0426543159558, 44.4130207908605)",jdp
Limerick,ME,1830,McDonald Inn,Paine,mural,tradition,NA,NA,"Limerick, ME","<b> Limerick, ME </b> <br> Paine <br> McDonald Inn","c(-70.8005135610996, 43.6863064635942)",other
Limerick,ME,1830,Furlong House,Paine,mural,tradition,NA,NA,"Limerick, ME","<b> Limerick, ME </b> <br> Paine <br> Furlong House","c(-70.7949215043486, 43.6824507001077)",other
Mt. Vernon,ME,1835,Burbank House,Jonathan D. Poor,mural,tradition,"""images/silas-burbank-JDP.png""",NA,"Mt. Vernon, ME","<b> Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Burbank House","c(-69.9859803319624, 44.4891279373396)",jdp
Mt. Vernon,ME,1835,Arthur Gordon House,Jonathan D. Poor,mural,tradition,NA,NA,"Mt. Vernon, ME","<b> Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Arthur Gordon House","c(-69.9876478890257, 44.507885983189)",jdp
New Sharon,ME,1840,Robert C. Bruce House,Jonathan D. Poor,mural,tradition,NA,NA,"New Sharon, ME","<b> New Sharon, ME </b> <br> Jonathan D. Poor <br> Robert C. Bruce House","c(-70.0147046076614, 44.629267501514)",jdp
North Parsonfield,ME,1830,Frank Chapman House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Frank Chapman House","c(-70.9146330986348, 43.7707105404847)",jdp
North Parsonfield,ME,1830,Helen Cating House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Helen Cating House","c(-70.9217076451765, 43.7692299780118)",jdp
North Parsonfield,ME,1830,Dr. William Reid House,Jonathan D. Poor and Paine,mural,tradition,NA,NA,"North Parsonfield, ME","<b> North Parsonfield, ME </b> <br> Jonathan D. Poor and Paine <br> Dr. William Reid House","c(-70.9314394298221, 43.7633187005444)",jdp
Readfield,ME,1835,Captain Dudley Haines House,Jonathan D. Poor,mural,tradition,NA,"color plate 21, color plate 22","Readfield, ME","<b> Readfield, ME </b> <br> Jonathan D. Poor <br> Captain Dudley Haines House","c(-69.9584058029591, 44.3992946136061)",jdp
Standish,ME,1830,Warren Pederson House,Jonathan D. Poor,mural,tradition,"""images/warran-pederson-JDP.png""",color plate 17,"Standish, ME","<b> Standish, ME </b> <br> Jonathan D. Poor <br> Warren Pederson House","c(-70.5576884194569, 43.7418356401473)",jdp
Standish,ME,1830,Barbara E. Parker House,Paine,mural,tradition,NA,NA,"Standish, ME","<b> Standish, ME </b> <br> Paine <br> Barbara E. Parker House","c(-70.5602474151134, 43.7343508987148)",other
Strong,ME,1835,William McClary House,Jonathan D. Poor,mural,tradition,NA,NA,"Strong, ME","<b> Strong, ME </b> <br> Jonathan D. Poor <br> William McClary House","c(-70.2157458096004, 44.8116114560514)",jdp
Vienna,ME,1833,Nathaniel Whittier House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Nathaniel Whittier House","c(-69.9874217568787, 44.5251932093449)",jdp
Vienna,ME,1833,Gilman Batchelder House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Gilman Batchelder House","c(-69.9858833703245, 44.5360046457432)",jdp
Vienna,ME,1833,Unidentified House,Jonathan D. Poor,mural,tradition,NA,NA,"Vienna, ME","<b> Vienna, ME </b> <br> Jonathan D. Poor <br> Unidentified House","c(-69.9812859482333, 44.5218837971555)",jdp
Bradford,NH,1824,Joshua Eaton House,"Rufus Porter and Moses Eaton, Jr.",mural,tradition,NA,"60, color plate 3, color plate 5","Bradford, NH","<b> Bradford, NH </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Joshua Eaton House","c(-71.9598208639563, 43.2799119191106)",rp_mural
